Date/time,Loop number,Mag field x,Mag field y,Mag field z,Pressure,Acceler x,Acceler y,Acceler z,Latitude,Longitude
2021-05-17 20:06:59.803276,1,9.495,-1.242,-18.296,973.933,0.998,-0.067,0.122,-13.985883811527152,-25.756424794064642
2021-05-17 20:07:11.656335,2,17.611,-2.058,-34.495,973.924,0.999,-0.068,0.123,-13.439315852443453,-25.335587810996184
2021-05-17 20:07:22.973011,3,21.823,-2.412,-42.661,973.974,0.998,-0.066,0.122,-12.84206788971826,-24.878902580068914
2021-05-17 20:07:35.383142,4,23.791,-2.248,-46.561,973.946,0.998,-0.067,0.123,-12.243834672205292,-24.424613037993026
2021-05-17 20:07:46.763561,5,25.106,-2.402,-48.683,973.932,0.997,-0.068,0.123,-11.644667426323325,-23.972596241363462
2021-05-17 20:08:58.033493,6,25.611,-2.62,-49.544,973.981,1.0,-0.068,0.123,-8.083138708153754,-21.338200816226006
2021-05-17 20:09:09.263570,7,26.275,-2.592,-49.738,973.966,0.999,-0.068,0.125,-7.478845405299692,-20.898649114831713
2021-05-17 20:09:20.533267,8,26.37,-2.607,-50.419,973.96,0.999,-0.069,0.126,-6.924420594236363,-20.4969110482299
2021-05-17 20:09:31.864789,9,26.461,-2.481,-50.61,973.949,0.999,-0.067,0.125,-6.369564627481676,-20.09621629302381
2021-05-17 20:09:43.083973,10,26.65,-2.585,-50.663,973.933,0.998,-0.068,0.124,-5.814312082868305,-19.69647605675423
2021-05-17 20:10:54.346270,11,26.352,-2.419,-50.304,973.96,0.998,-0.067,0.123,-2.172542729216248,-17.097609568131887
2021-05-17 20:11:05.733456,12,26.414,-2.414,-50.878,973.938,0.999,-0.068,0.124,-1.615395233995022,-16.702341398221375
2021-05-17 20:11:16.975990,13,26.051,-2.511,-50.926,973.914,0.997,-0.068,0.122,-1.0581401632943686,-16.30730716228993
2021-05-17 20:11:28.315514,14,26.035,-2.539,-50.547,973.927,0.997,-0.069,0.123,-0.4501415361764276,-15.876527131337227
2021-05-17 20:11:39.813967,15,26.353,-3.195,-50.704,973.968,0.998,-0.067,0.124,0.10723193558668373,-15.481709753911932
2021-05-17 20:12:51.077518,16,26.489,-3.242,-50.693,973.912,0.999,-0.067,0.124,3.7034912118605243,-12.929077669555053
2021-05-17 20:13:02.284202,17,26.563,-3.108,-50.548,973.96,0.999,-0.067,0.125,4.31069118709325,-12.495935246923171
2021-05-17 20:13:13.513502,18,26.591,-3.06,-50.698,973.962,0.999,-0.068,0.122,4.867033146879237,-12.098202232495927
2021-05-17 20:13:25.825566,19,26.452,-2.998,-50.533,973.918,0.999,-0.068,0.124,5.423094215135608,-11.699725581222797
2021-05-17 20:13:36.960249,20,26.276,-2.954,-50.237,973.939,0.998,-0.068,0.124,6.0293456478473475,-11.264074771618228
2021-05-17 20:14:48.024303,21,26.271,-2.672,-50.145,974.0,0.999,-0.068,0.124,9.656435217425756,-8.623159930917996
2021-05-17 20:14:59.175411,22,26.554,-2.492,-49.757,973.979,0.999,-0.069,0.123,10.20861417691262,-8.214653146848702
2021-05-17 20:15:10.496294,23,26.697,-2.466,-49.863,974.004,0.999,-0.069,0.124,10.76016988163772,-7.804557490023736
2021-05-17 20:15:21.634440,24,27.045,-2.291,-49.757,974.0,0.999,-0.069,0.123,11.311064765560623,-7.392781606662946
